genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
[Unknown],Marion Bell,0.944,0.284,162427.0,0.192,0.0,0.135,-13.055,0.0421,167.63,0.325,3.0,10,1,2
[Unknown],Ildiko Raimondi,0.906,0.31,354240.0,0.125,0.904,0.258,-17.338,0.0363,129.938,0.269,46.0,2,1,1
[Unknown],G.H. Veeranna,0.856,0.529,192133.0,0.386,0.00125,0.442,-9.559,0.0621,111.321,0.851,0.0,0,1,2
"['disney', 'movie tunes']",Robby Benson,0.836,0.588,138987.0,0.325,1.16e-06,0.127,-10.925999999999998,0.0374,126.127,0.569,62.0,1,1,1
"['british orchestra', 'chamber orchestra']",Scottish Chamber Orchestra,0.89,0.1673,519684.66666666674,0.04398,0.6093666666666667,0.114,-28.034,0.0415666666666666,111.298,0.0618,41.333333333333336,11,0,3
['rebetiko'],Stratos Pagioumtzis,0.977652542372881,0.5884152542372878,187520.45762711865,0.3403050847457625,0.4604297193220338,0.1692423728813558,-13.109169491525426,0.0547627118644067,117.46922881355924,0.7137288135593223,0.0169491525423728,2,1,118
"['indie pop', 'la indie', 'modern rock']",Ricky Montgomery,0.2494166666666666,0.5805000000000001,221930.0,0.6008333333333332,0.0004251,0.1475333333333333,-6.221000000000001,0.0307166666666666,142.17266666666666,0.4783333333333333,66.66666666666667,11,1,12
[Unknown],Andrea Storm Kaden,0.0771,0.732,253714.0,0.884,0.0,0.138,-4.872,0.107,140.017,0.745,58.0,1,1,2
[Unknown],The Chakachas,0.4819999999999999,0.6995,213970.5,0.4945000000000001,0.0755425999999999,0.0976,-15.386499999999998,0.268,96.52,0.7670000000000001,39.0,11,1,4
['full on'],Soniq Vision,0.00382,0.56,510469.0,0.882,0.843,0.0687,-8.355,0.0419,127.979,0.243,0.0,9,0,2
[Unknown],Daddy 'O',0.0767,0.821,245040.0,0.495,0.0,0.0606,-11.618,0.1,89.984,0.677,34.0,9,0,2
[Unknown],Nargis,0.988,0.6646666666666666,199344.66666666663,0.2153333333333332,0.0840115,0.336,-9.821666666666667,0.4646666666666666,133.27700000000002,0.6496666666666666,0.0,10,0,3
[Unknown],Original Broadway Cast of 'Three Wishes For Jamie',0.906,0.4405714285714285,122144.14285714286,0.2819285714285714,0.1367365385714286,0.2790571428571428,-11.478857142857144,0.0639571428571428,104.81257142857142,0.3669714285714286,0.0,9,1,14
[Unknown],Teresa Stich-Randall,0.975,0.148,279733.0,0.192,0.000701,0.147,-16.385,0.0416,93.771,0.0369,16.0,1,1,1
"['k-pop', 'k-pop boy group', 'korean pop']",SHINee,0.1497428571428571,0.7012857142857143,234631.7142857143,0.8075714285714286,7.199999999999999e-05,0.1696428571428571,-2.831857142857144,0.0594571428571428,108.08385714285716,0.5904285714285713,55.0,1,1,14
"['broadway', 'hollywood', 'show tunes']",Stephen Sondheim,0.8499361702127664,0.4525106382978724,244410.51063829788,0.3432340425531913,0.0087243480851063,0.2919617021276595,-13.09446808510638,0.099068085106383,107.23021276595742,0.3860170212765957,26.0,8,1,47
"['canzone napoletana', 'classical tenor', 'italian tenor', 'opera', 'operatic pop']",Luciano Pavarotti,0.9408636363636362,0.2665000000000001,258058.56818181815,0.2399795454545454,0.0399178525,0.2651636363636363,-15.440068181818186,0.04635,99.61879545454543,0.189625,35.72727272727273,2,1,44
